% Model,System_batch.mph
% Version,COMSOL 6.0.0.318
% Date,"Sep 29 2023, 10:36"
% Table,Generator_export - 
% Time,Q,DH,QHD,QHH,prod,Qm,DHp,QH,D,QD
6.32420071723341E-8,0.9937216140760698,0.9937164543885341,5.159789691083094E-6,5.1597007182130984E-6,5.159789587277836E-6,0.005553283516790498,0.005553283516790498,7.14782903548366E-4,7.147827145207424E-4,1.255026152014332E-11
6.363551829305545E-8,0.993682961622358,0.993677597565294,5.364163566706267E-6,5.36407053639293E-6,5.364163416105444E-6,0.005579946450779783,0.005579946450779783,7.263636792873059E-4,7.263634819603138E-4,1.2836155184153252E-11
6.402902941377681E-8,0.9936443188480594,0.9936387437726043,5.5751864683349E-6,5.5750892217693464E-6,5.57518626777762E-6,0.005606489529199296,0.005606489529199296,7.380413332849113E-4,7.380411273425558E-4,1.3126747362373078E-11
6.442254053449816E-8,0.9936056859155833,0.9935998930098472,5.7930214286125646E-6,5.792919801919125E-6,5.793021174763744E-6,0.005632912725812938,0.005632912725812938,7.498154033078771E-4,7.498151884243355E-4,1.3422080747204719E-11
6.481605165521952E-8,0.9935670629897184,0.9935610452763975,6.017833866424142E-6,6.0177276905413255E-6,6.0178335557662905E-6,0.005659216021991399,0.005659216021991399,7.616854123638895E-4,7.616851882032897E-4,1.3722197968112483E-11
6.520956277594088E-8,0.9935284502376357,0.9935222005716247,6.2497915889935996E-6,6.249680689553328E-6,6.24979121781826E-6,0.00568539940664255,0.00568539940664255,7.736508687650772E-4,7.736506349812735E-4,1.4027141589690386E-11
6.560307389666223E-8,0.9934898478288845,0.9934833588948909,6.489064788598604E-6,6.4889489858038935E-6,6.489064352997487E-6,0.005711462876143882,0.005711462876143882,7.857112662055266E-4,7.857110224418723E-4,1.4336954108461953E-11
6.599658501738359E-8,0.9934512559353862,0.9934445202455519,6.735826036814442E-6,6.7357051453155326E-6,6.735825532670204E-6,0.005737406434275322,0.005737406434275322,7.978660838458217E-4,7.978658297349403E-4,1.4651677949277067E-11
6.639009613810494E-8,0.9934126747314285,0.9934056846229571,6.990250277253698E-6,6.990124106022722E-6,6.9902497002304005E-6,0.005763230092151899,0.005763230092151899,8.101147864022724E-4,8.101145215658258E-4,1.49713554615946E-11
6.67836072588263E-8,0.9933741043936549,0.9933668520264486,7.252514817119768E-6,7.2523831693239076E-6,7.252514162652956E-6,0.005788933868156034,0.005788933868156034,8.224568242400423E-4,8.224565482884978E-4,1.5296028915747367E-11
6.717711837954765E-8,0.9933355451010564,0.9933280224553623,7.522799317676224E-6,7.522661990549438E-6,7.5227985809626594E-6,0.0058145177878694615,0.0058145177878694615,8.348916334699195E-4,8.348913460023131E-4,1.5625740499222022E-11
